Season Number,Episode Number,Pitch Number,Original Air Date,Startup Name,Industry,Business Description,Pitchers Gender,Pitchers City,Pitchers State,Pitchers Average Age,Entrepreneur Names,Company Website,Multiple Entrepreneurs,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Deal Status,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Loan,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Investment Count,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
5,23,355,10-04-2014,LordNutLevington,Food & Beverage,Lord Nut Levington - Specialty Food,Male,Dallas,TX,UnKnown,UnKnown,http://www.whoislordnut.com or http://www.lordnut.com,0,6.85,500000,30,1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
5,24,356,11-04-2014,FunTimeExpress,Children & Education,Fun Time Express - Baby and Children's Entertainment,Male,Chicago,IL,UnKnown,Stan Krozel and Kevin Ullery,http://funtimeexpress.com,1,6.95,125000,20,625000,1,1,125000,20,625000,2,62500,10,0,0,0,0,0,0,62500,10,0,0,0,0,62500,10,0,0,2,UnKnown,0,1,1,1,1,1
5,24,357,11-04-2014,PowerPot,Food & Beverage,PowerPot - Outdoor Recreation,Male,Salt Lake City,UT,UnKnown,UnKnown,http://www.powerpractical.com,0,6.95,250000,10,2500000,1,1,250000,12,2083333,1,250000,12,0,0,0,0,250000,12,0,0,0,0,0,0,0,0,0,0,1,UnKnown,0,1,1,1,1,1
5,24,358,11-04-2014,QuickstopFireSprinklerTools,Lifestyle & Home,Quickstop Fire Sprinkler Tools - Productivity Tools,Male,San Diego,CA,UnKnown,UnKnown,http://www.quickstoptool.com,0,6.95,150000,10,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
5,24,359,11-04-2014,TaylorRobinsonMusic,Software & Technology,Taylor Robinson Music - Online Services,Male,Dallas,TX,UnKnown,Taylor Robinson,http://www.taylorrobinsonmusic.com,0,6.95,100000,10,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
5,25,360,18-04-2014,ZooBean,Children & Education,ZooBean - Baby and Children's Entertainment,Mixed Team,Washington,DC,UnKnown,UnKnown,https://www.zoobean.com,1,6.77,250000,15,1666667,1,1,250000,30,833333,1,250000,30,0,0,0,0,250000,30,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
5,25,361,18-04-2014,iLumi,Electronics,iLumi - Electronics LED smart light bulbs,Male,Plano,TX,UnKnown,Swapnil Bora and Corey Egan,http://www.ilumi.co,1,6.77,350000,15,2333333,1,1,350000,25,1400000,1,350000,25,0,0,0,0,350000,25,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
5,25,362,18-04-2014,FortMagic,Children & Education,Fort Magic - Toys and Games,Female,Sarasota,FL,UnKnown,Erika Pope,http://fortmagic.com,0,6.77,75000,15,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
5,25,363,18-04-2014,Intelli-StopperTechnology,Food & Beverage,Intelli-Stopper Technology - Wine Accessories,Male,Las Vegas,NV,UnKnown,Chase Hoyt,UnKnown,0,6.77,250000,10,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
5,26,364,25-04-2014,RuggedManiac,"Fitness, Sports & Outdoors",Rugged Maniac - Entertainment,Male,Boston,MA,UnKnown,Rob Dickens and Brad Scudder,http://www.ruggedmaniac.com,1,7.11,1000000,10,10000000,1,1,1750000,25,7000000,1,1750000,25,0,0,0,0,1750000,25,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,1,0,1,1,1
5,26,365,25-04-2014,CerebralSuccess,Health & Wellness,Cerebral Success - Homeopathic Remedies,Male,Provo,UT,UnKnown,UnKnown,http://cerebralsuccess.com,0,7.11,75000,20,375000,1,1,75000,40,187500,1,75000,40,0,0,75000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,1,0,1,1,1
5,26,366,25-04-2014,Mo'sBows,Fashion & Beauty,Mo's Bows - Men's Accessories,Male,Memphis,TN,UnKnown,Moziah Bridges,http://mosbowsmemphis.com,0,7.11,50000,20,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,0,1,1,1
